OBJECTID,PRIMARY,MIDDLE,SECONDARY,MONTESSORI,FRENCH
1,Connaught Heights (K-5),Fraser River Middle School (6-8),New Westminster Secondary (9-12),,
2,Queen Elizabeth (K-4),Queensborough Middle School (5-8),New Westminster Secondary (9-12),,
3,Lord Tweedsmuir (K-5),Fraser River Middle School (6-8),New Westminster Secondary (9-12),,
4,Lord Kelvin (K-5),Fraser River Middle School (6-8),New Westminster Secondary (9-12),,
5,Herbert Spencer (K-5),Ecole Glenbrooke Middle School (6-8),New Westminster Secondary (9-12),,
6,FW Howay (K-5),Ecole Glenbrooke Middle School (6-8),New Westminster Secondary (9-12),,
8,Richard McBride (K-5),Ecole Glenbrooke Middle School (6-8),New Westminster Secondary (9-12),,
9,,,,Connaught Heights (K-5),
13,,,,Richard McBride (K-5),
15,Ecole Qayqayt (K-5),Fraser River Middle School (6-8),New Westminster Secondary (9-12),,
19,,,,,Lord Tweedsmuir (K-5)
21,,,,,Herbert Spencer (K-5)
24,,,,,Ecole Qayqayt (K-5)
