LENGTH,LINECOLOR,LINEABBR,STATUS,TYPE
1770.92735774,2,104,1,1
632.67204431,2,153,1,1
6233.23447103,1,153,1,1
8349.63862657,10,155,1,1
553.89854714,2,156,1,1
8058.30702301,10,154,1,1
553.89854714,4,159,1,1
43353.6184821,10,791,1,1
19563.5743377,1,169,1,1
16623.6890668,1,156,1,1
19010.8569464,10,116,1,1
7485.84343398,1,C99,1,5
12430.9325194,1,112,1,1
784.25145908,2,C4,1,5
10983.537428,1,C3,1,5
45669.8047793,1,410,1,1
24417.4157712,1,159,1,1
10453.4716447,1,C4,1,5
20869.7167696,10,177,1,1
553.89854714,2,169,1,1
11443.156641,10,106,1,1
1177.04516735,2,C99,1,5
18469.9856225,10,C98,1,5
14180.130759,10,123,1,1
16473.8857779,1,104,1,1
39053.0868544,10,N19,1,7
1881.0590989,2,100,1,1
1293.97359382,2,C3,1,5
534.64140072,3,C4,1,5
55934.3652337,10,301,1,1
30660.927653,10,340,1,1
25340.5184454,1,100,1,1
534.64140072,3,C3,1,5
13001.1253883,10,101,1,1
