PED_NO,X,Y
10001,-122.934,49.204
10002,-122.910,49.201
10003,-122.893,49.232
10004,-122.908,49.203
10005,-122.907,49.204
10006,-122.909,49.203
10007,-122.910,49.202
10008,-122.922,49.201
10009,-122.920,49.213
10011,-122.924,49.211
10012,-122.922,49.212
10013,-122.914,49.221
10014,-122.934,49.210
10015,-122.893,49.228
10016,-122.931,49.207
10017,-122.893,49.222
10018,-122.926,49.213
10019,-122.883,49.231
10021,-122.890,49.232
10022,-122.895,49.215
10026,-122.905,49.204
10027,-122.912,49.201
10028,-122.913,49.201
10030,-122.900,49.207
10033,-122.903,49.210
10037,-122.914,49.204
10040,-122.916,49.205
10041,-122.909,49.204
10042,-122.912,49.202
10045,-122.920,49.208
10048,-122.908,49.220
10052,-122.927,49.210
10053,-122.947,49.202
10057,-122.924,49.216
10055,-122.912,49.222
10059,-122.930,49.212
10060,-122.948,49.203
10066,-122.951,49.205
10067,-122.930,49.215
10068,-122.933,49.192
10023,-122.893,49.236
10025,-122.894,49.217
10029,-122.916,49.200
10035,-122.908,49.207
10036,-122.911,49.205
10039,-122.920,49.201
10043,-122.926,49.202
10058,-122.927,49.214
10049,-122.912,49.218
10044,-122.917,49.210
10046,-122.918,49.212
10050,-122.914,49.217
10024,-122.893,49.226
10020,-122.886,49.231
10031,-122.898,49.211
10051,-122.919,49.214
10034,-122.907,49.208
10032,-122.899,49.212
10038,-122.917,49.202
10054,-122.908,49.224
10056,-122.918,49.219
10069,-122.893,49.221
10070,-122.907,49.223
10071,-122.923,49.212
10072,-122.892,49.237
10074,-122.913,49.207
10075,-122.948,49.190
10076,-122.907,49.203
10077,-122.893,49.234
10078,-122.902,49.207
10079,-122.925,49.203
