CATEGORY,BLDG_ID,MAPREF,STRNUM,STRNAM,BLDGNAM,X,Y
City Park,297,853000,305,ROYAL AVE,New Westminster Tennis Club,-122.908089601154,49.2081340887979
City Park,3121,5873000,600,FIRST ST,Queen's Park Stadium,-122.905455579651,49.2135387616511
City Park,3119,5873000,600,FIRST ST,Queen's Park Arenex,-122.903452166459,49.2144728536856
City Park,3118,5873000,600,FIRST ST,Queen's Park Arena,-122.905773398197,49.2148269831031
City Park,1995,4317000,75,E SIXTH AVE,Royal City Curling Club,-122.905815493754,49.2216027676098
City Park,5977,10300000,65,E SIXTH AVE,Canada Games Pool,-122.907792984552,49.221691301765
City Park,5978,10300000,65,E SIXTH AVE,New Westminster Centennial Community Ctr,-122.906594792638,49.2213489705275
City Park,8812,9206000,630,EIGHTH ST,Bowling Club House,-122.926612010713,49.2123274591618
City Park,9263,11858000,701,EIGHTH AVE,Moody Park Ice Arena,-122.926122550694,49.2155633231514
City Park,9366,5873000,600,FIRST ST,Treats Concession/Washroom,-122.907993358456,49.2160691009164
City Park,9368,9206000,702,TENTH ST,Moody Park Outdoor Pool,-122.928275096687,49.2113183053868
City Park,9375,14206000,1,FRONT ST,Pier Park Concession,-122.905028689454,49.2034194398683
