OBJECTID,INLET_ID,OUTLET_ID,X,Y
206419,402,,-122.897595827921,49.2093665849127
206420,905,,-122.951524370293,49.1856679186408
206421,907,,-122.952246334322,49.1855166346716
206422,910,,-122.952652072804,49.1855991917152
206423,911,,-122.95253456995,49.1855041528374
206424,912,,-122.953556245798,49.1864596622004
206425,200,,-122.898546774372,49.2140928390076
206426,203,,-122.895329598237,49.2136064720421
206427,901,,-122.946871203668,49.1848203210045
206428,904,,-122.945679836938,49.1853391965812
206429,913,,-122.943213590751,49.1860982421951
