OBJECTID,RefAuto,PUMP_ID,STREET_NUM,STREET_NAME,PUMP_TYPE,CATCHMENT,VOLTAGE,HORSEPOWER,MAKE,MODEL,NUM_INLETS,INST_YR,REMARKS,X,Y
207369,36,SA-31,,PIER PARK,,4,230,,,,,2012,09216-00-CI-DLP-1041-1043.dwg; page: 1042 & 1043,-122.904844693616,49.2035261184246
207370,34,SA-29,,E COLUMBIA ST,SAN,2,,,ZOELLER,EX284,,2011,Hume Park; EB-3731-EBB-01,-122.891812425529,49.2356356691351
207371,35,SA-30,,QUAYSIDE DR,SAN,5,,,ZOELLER,EX292,,2011,Quayside; EB-3731-EBA-01,-122.922077671891,49.198935252913
207372,8,SA-8,300,FENTON ST W,SAN,9,,,,,,,,-122.938127955427,49.1924063267254
207373,9,SA-9,300,BOYNE ST,SAN,9,,,,,,,,-122.939230603865,49.1918531604796
207374,10,SA-10,300,WOOD ST,SAN,9,,,,,,,,-122.94041238138,49.191296633274
207375,12,SA-12,700,CRANE PLACE,SAN,9,,,,,3,1992,,-122.940876219968,49.1898246824912
207376,11,SA-11,300,LAWERENCE ST,SAN,9,,,,,,,,-122.940343564928,49.1867707908158
207377,27,SA-27,800,EWEN AVE,SAN,9,,,,,,,,-122.944414775761,49.1873894208617
207378,31,DG-3,,CARTER ST & SOUTH DYKE,STM,9,,,,,,,,-122.940485546171,49.1831345775727
207379,18,SA-18,200,HOWES ST,SAN,9,,,,,,,,-122.944627216566,49.1850616253366
207380,19,SA-19,1000,SALTER ST,SAN,9,,,,,,,,-122.944862622556,49.1834756816398
207381,20,SA-20,1000,SALTER ST,SAN,9,,,,,,,,-122.946080946812,49.1829650441522
207382,21,SA-21,1100,EWEN AVE,SAN,9,,,,,,,,-122.948808860244,49.1839814975126
207383,13,SA-13,100,GIFFORD ST,SAN,9,,,,,,,,-122.949012306095,49.1816820868437
207384,22,SA-22,1200,SALTER ST,SAN,9,,,,,,,,-122.951713420533,49.1808368642825
207385,23,SA-23,100,SPAGNOL ST,SAN,9,,,,,,,,-122.953322704272,49.1798965752511
207386,24,SA-24,1300,SALTER ST,SAN,9,,,,,,,,-122.953946910704,49.179913183866
207387,25,SA-25,200,PHILLIPS ST,SAN,9,,,,,,,,-122.956957436929,49.179813840237
207388,17,SA-17,600,FENWICK ST,SAN,,,,,,,,,-122.954535148271,49.1971286131449
207389,15,SA-15,,E COLUMBIA ST,SAN,,,,,,,,,-122.894458541243,49.2154548711991
207390,14,SA-14,300,EDWORTHY WAY,SAN,,,,,,,,,-122.887549319505,49.2235686915822
207391,16,SA-16,400,BRUNETTE ST,SAN,,,,,,,,,-122.886222619246,49.2283845638716
207392,33,DG-5,,BRAID ST & CANFOR AVE,STM,1,,,,,,,,-122.878498610368,49.2297671836886
207393,1,SA-1,200,CAMPBELL ST,SAN,,,,,,,,,-122.938841434613,49.1878719404153
207394,5,SA-5,200,FENTON ST S,SAN,9,,,,,,,,-122.934144449141,49.1896737247625
207395,32,DG-4,,BOUNDARY ST & SOUTH DYKE,STM,9,,,,,,,,-122.956457851637,49.1766371428395
207396,30,DG-2,,STANLEY ST & NORTH DYKE,STM,9,,,,,,,,-122.936117278126,49.1964670422041
207397,29,DG-1,,WOOD ST & NORTH DYKE,STM,9,,,,,,,,-122.945671010675,49.1957969429707
207398,26,SA-26,300,DAWE ST,SAN,9,,,,,,,,-122.955188981968,49.1833242545772
207399,4,SA-4,200,PEMBINA ST S,SAN,9,,,,,,,,-122.935095621279,49.1892775056997
207400,3,SA-3,200,BOYNE ST S,SAN,9,,,,,,,,-122.936265481676,49.1888049394326
207401,2,SA-2,200,WOOD ST,SAN,9,,,,,,,,-122.937485065902,49.188292962607
207402,28,SA-28,100,EWEN AVE,SAN,9,,,,,,,,-122.926894830404,49.1947122611991
207403,6,SA-6,300,JOHNSTON ST,SAN,9,,,,,,,,-122.935326356565,49.1932108567372
207404,7,SA-7,300,FENTON ST,SAN,9,,,,,,,,-122.936734578654,49.1927500924768
